SLURM_JOBID  = 2129950
SLURM_JOB_NODELIST = iris-[019,021]
SLURM_NNODES = 2
SLURM_NTASKS = 2
SLURMTMPDIR  = 
Submission directory = /mnt/irisgpfs/users/sduarte/tutorials/OSU-MicroBenchmarks/runs
# OSU MPI_Get Bandwidth Test v5.5
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       0.24
2                       0.49
4                       1.00
8                       2.00
16                      4.00
32                      8.01
64                     15.98
128                    31.74
256                    60.86
512                   122.06
1024                  232.27
2048                  351.83
4096                  469.11
8192                  723.79
16384                 751.40
32768                 985.06
65536                1292.46
131072               1420.65
262144                752.02
524288               1462.20
1048576              1579.97
2097152              1601.40
4194304              1574.16
